ISO_A3,NAM_0,year,total_vol,total_fp,building_height,total_surface_area
SDN,Sudan,2000,5140485044.0,885848202.0,5.80289606322416,886539053.0742543
SEN,Senegal,2000,2203207197.0,430230203.0,5.120996112399854,430655081.6271988
SGP,Singapore,2000,1588025334.0,99523386.0,15.95630331548406,100160115.31645373
SGS,South Georgia and South Sandwich Islands,2000,89346.0,35738.0,2.5000279814203368,37628.47084094088
SHN,"Saint Helena, Ascension and Tristan da Cunha (U.K.)",2000,1416501.0,536385.0,2.640828882239436,544121.3937361239
SJM,Svalbard and Jan Mayen (Nor.),2000,99182.0,39676.0,2.4997983667708437,41667.72287876829
SLB,Solomon Islands,2000,110861151.0,19137696.0,5.792815969069631,19239062.52274689
SLE,Sierra Leone,2000,785190489.0,143949751.0,5.454615124690282,144211526.8405067
SLV,El Salvador,2000,1388472374.0,226130719.0,6.140131602376411,226500051.43784156
SMR,San Marino,2000,22685872.0,3434523.0,6.605246783905654,3483487.6048599347
SOM,Somalia,2000,691923701.0,114658861.0,6.03462911601747,114917333.52580085
SPM,Saint-Pierre-et-Miquelon (Fr.),2000,830527.0,323416.0,2.5679836495411483,329257.6158812472
SRB,Serbia,2000,2794344248.0,628878210.0,4.443379025646317,629323924.3591495
SSD,South Sudan,2000,261148592.0,56087493.0,4.656093150749312,56226973.87585266
STP,SÃ£o TomÃ© and PrÃ­ncipe,2000,29185460.0,6976533.0,4.1833758974550825,7020731.416246764
SUR,Suriname,2000,281449295.0,56000971.0,5.025793124194221,56151410.67198158
SVK,Slovak Republic,2000,2442955296.0,528458384.0,4.622795985388321,528883463.4548756
SVN,Slovenia,2000,823249704.0,207527829.0,3.9669364247047563,207756416.98699582
SWE,Sweden,2000,3863975814.0,725861141.0,5.323298900774191,726434818.2361289
SWZ,Eswatini,2000,194896395.0,52285197.0,3.7275635587640608,52393010.817276746
SXM,Sint Maarten (Neth.),2000,19471668.0,3094123.0,6.293113751457198,3138401.6488781413
SYC,Seychelles,2000,15054083.0,4147163.0,3.6299713804352516,4176732.1434975574
SYR,Syrian Arab Republic,2000,4198914826.0,750795000.0,5.592624918919279,751407965.9786749
TCA,Turks and Caicos Islands (U.K.),2000,1236713.0,423496.0,2.920247180610915,431097.5868358914
TCD,Chad,2000,1222504759.0,293673610.0,4.1628008693052125,293958960.1392604
TGO,Togo,2000,1633382561.0,256054739.0,6.379036636381098,256463040.9901562
THA,Thailand,2000,20709367245.0,4570232776.0,4.5313593989681715,4571458118.96203
TJK,Tajikistan,2000,2670988111.0,508897323.0,5.248579605910012,509370928.63724726
TKL,Tokelau (N.Z.),2000,0.0,0.0,0.0,0.0
TKM,Turkmenistan,2000,2679289831.0,561784505.0,4.76924836330258,562236667.7785001
TLS,Timor-Leste,2000,135539333.0,36371556.0,3.7265200586964164,36461452.83359646
TON,Tonga,2000,24351767.0,6921147.0,3.5184582844433154,6958172.5428248085
TTO,Trinidad and Tobago,2000,868833682.0,129516546.0,6.708283295325062,129821921.37491754
TUN,Tunisia,2000,4212024685.0,856804911.0,4.915967019941602,857380496.6070284
TUR,TÃ¼rkiye,2000,15930136814.0,2398741308.0,6.641039932431097,2400042339.4351983
TUV,Tuvalu,2000,997923.0,271512.0,3.675428710333245,279172.5951151611
TZA,Tanzania,2000,7327323171.0,1741357381.0,4.207822731248985,1742059743.607184
UGA,Uganda,2000,3537821939.0,990683722.0,3.571091217546017,991133324.2216245
UKR,Ukraine,2000,17423117051.0,3255505625.0,5.351892780403351,3256727077.606415
UKR,Ukraine,2000,17423117051.0,225282439.0,77.33899334692484,229925690.1604521
