ISO_A3,year,total_vol,total_fp,building_height,total_surface_area
SDN,1995,69944228025.0,12075515670.0,5.7922352913480175,12078061673.695183
SDN,2000,77107275660.0,13287723030.0,5.80289606322416,13290398684.705296
SDN,2005,81121137705.0,14223227055.0,5.703427034618199,14225947844.561478
SDN,2010,86963568480.0,15689436480.0,5.542810195309195,15692213593.76502
SDN,2015,96227054265.0,18278109330.0,5.264606559008913,18280956356.74673
SDN,2020,115302587700.0,24506881245.0,4.704906615709191,24509827396.137135
SDN,2025,120525479745.0,26365342275.0,4.571360329324608,26368311356.73489
SDN,2030,123762550200.0,27471235350.0,4.5051687200517545,27474222177.534023
SEN,1975,18912765405.0,3079314135.0,6.141875942449113,3080677424.3095517
SEN,1980,20865831060.0,3564956295.0,5.853039794419135,3566354170.7572136
SEN,1985,23537698290.0,4250453430.0,5.537691137578232,4251897560.205872
SEN,1990,26620611825.0,5061729585.0,5.259192807116345,5063226263.617372
SEN,1995,29402624700.0,5647130730.0,5.206648492091841,5648695794.249455
SEN,2000,33048107955.0,6453453045.0,5.120996112399854,6455098592.847301
SEN,2005,35746328565.0,7101122595.0,5.033898244507071,7102819384.347496
SEN,2010,39317130345.0,7985326635.0,4.923672147945893,7987086565.269605
SEN,2015,43500755925.0,9080131755.0,4.790762634148583,9081957796.822271
SEN,2020,47783025705.0,10417145835.0,4.5869594668106135,10419018496.43063
SEN,2025,50027121270.0,11265978345.0,4.440548325055386,11267863647.520288
SEN,2030,51416914065.0,11773742415.0,4.367083315793774,11775637849.293509
SGP,1975,18859514790.0,1138471110.0,16.565650743653915,1140706892.2262678
SGP,1980,19600297200.0,1192750515.0,16.432855784598004,1195020629.9124143
SGP,1985,20448361620.0,1256229735.0,16.277565361084214,1258537459.568649
SGP,1990,21361454325.0,1326624690.0,16.102108219469365,1328970629.2976508
SGP,1995,22504354185.0,1401655365.0,16.055554558520168,1404059760.5961416
SGP,2000,23820380010.0,1492850790.0,15.95630331548406,1495316832.0386672
SGP,2005,24022783845.0,1514334465.0,15.863591828770799,1516803756.8418295
SGP,2010,24243548760.0,1539509070.0,15.747584234758682,1541980595.2820802
SGP,2015,24538959585.0,1572084225.0,15.609188868363589,1574559812.218566
SGP,2020,25087247475.0,1624803525.0,15.440172974144675,1627293027.5702631
SGP,2025,25298200425.0,1658863500.0,15.250320731633435,1661348030.2828965
SGP,2030,25421789925.0,1677649425.0,15.15321946657598,1680132075.074309
SGS,1975,742860.0,297120.0,2.500201938610662,302571.3117865208
SGS,1980,911625.0,364605.0,2.500308553091702,370643.99830728536
SGS,1985,1080255.0,432105.0,2.499982643107578,438678.42376559455
SGS,1990,1309230.0,523620.0,2.500343760742523,530857.154205213
SGS,1995,1324890.0,529920.0,2.500169836956522,537200.0549616446
SGS,2000,1340190.0,536070.0,2.5000279814203368,543391.7620834548
SGS,2005,1342245.0,536880.0,2.5000838176128743,544207.4552240425
SGS,2010,1344375.0,537705.0,2.5002092225290817,545038.4507823125
SGS,2015,1350570.0,540165.0,2.500291577573519,547515.4490158613
SGS,2020,1372140.0,548760.0,2.500437349661054,556169.1296168594
SGS,2025,1372140.0,548760.0,2.500437349661054,556169.1296168594
SGS,2030,1372140.0,548760.0,2.500437349661054,556169.1296168594
SHN,1975,10656570.0,4034310.0,2.6414851610312544,4055532.3171298485
SHN,1980,13788645.0,5216025.0,2.643515895725193,5240174.700532475
SHN,1985,16964760.0,6415290.0,2.644426050887801,6442081.656400024
SHN,1990,20511495.0,7762140.0,2.6425051596595783,7791588.730056104
SHN,1995,20886645.0,7906695.0,2.6416404072751005,7936406.951912834
SHN,2000,21247515.0,8045775.0,2.640828882239436,8075737.924099711
SHN,2005,21535560.0,8160270.0,2.639074442389774,8190425.316877407
SHN,2010,21848205.0,8285010.0,2.637076479086929,8315371.920233284
SHN,2015,22186140.0,8418885.0,2.6352824631765372,8449470.420230582
SHN,2020,22675125.0,8607495.0,2.634346578185639,8638410.145273132
SHN,2025,22675125.0,8607495.0,2.634346578185639,8638410.145273132
SHN,2030,22934340.0,8711175.0,2.632749313381949,8742256.92217682
SJM,1975,1002720.0,400935.0,2.500954019978301,407269.35914979584
SJM,1980,1162950.0,465210.0,2.4998387824853294,472030.190627355
SJM,1985,1323915.0,529650.0,2.4996035117530444,536926.5514725178
SJM,1990,1487730.0,595140.0,2.4997983667708437,602853.9095397299
SJM,1995,1487730.0,595140.0,2.4997983667708437,602853.9095397299
SJM,2000,1487730.0,595140.0,2.4997983667708437,602853.9095397299
SJM,2005,1558380.0,623160.0,2.5007702676680146,631056.480603133
SJM,2010,1628505.0,651360.0,2.5001612011790715,659431.2081047894
SJM,2015,1701375.0,680640.0,2.4996694287729198,688889.00001152
SJM,2020,1783155.0,713085.0,2.5006205431330066,721531.5320927257
SJM,2025,1783155.0,713085.0,2.5006205431330066,721531.5320927257
SJM,2030,1783155.0,713085.0,2.5006205431330066,721531.5320927257
SLB,1975,1184789850.0,191641560.0,6.182322091304203,191983899.0708221
SLB,1980,1309508550.0,215374080.0,6.080158531611604,215731000.5980607
SLB,1985,1460015610.0,243736890.0,5.990129807597036,244110963.4264824
SLB,1990,1635600285.0,276283500.0,5.92000711225969,276677104.1731489
SLB,1995,1646693640.0,280663770.0,5.867140030221927,281056939.32073104
SLB,2000,1662917265.0,287065440.0,5.792815969069631,287458030.85446167
SLB,2005,1692617775.0,294849150.0,5.740622874442745,295243442.89249194
SLB,2010,1728834960.0,304653900.0,5.674750790979535,305050096.06372064
SLB,2015,1767026865.0,315678570.0,5.597550904389867,316076384.48593557
SLB,2020,1797144990.0,327344715.0,5.490068749086112,327742035.0130308
SLB,2025,1818795315.0,335646765.0,5.418778026953425,336043867.4671482
SLB,2030,1834007610.0,341608350.0,5.3687435040741835,342005264.4279083
SLE,1975,5753798880.0,820322205.0,7.014071842660897,821125772.6321261
SLE,1980,6654980400.0,1053308835.0,6.318166314440911,1054129052.2686458
SLE,1985,7883770605.0,1387553865.0,5.681776256664458,1388400447.0280302
SLE,1990,9329779260.0,1790764110.0,5.209943178948343,1791645995.4330738
SLE,1995,10376828835.0,1948817400.0,5.324679898178249,1949757640.751336
SLE,2000,11777857335.0,2159246265.0,5.454615124690282,2160260118.470722
SLE,2005,13211663880.0,2410645230.0,5.4805508979851005,2411721573.412421
SLE,2010,15190469655.0,2753342850.0,5.517100660021327,2754500829.9663873
SLE,2015,17306236800.0,3119955780.0,5.5469493865711135,3121195114.141233
SLE,2020,17830413915.0,3260060835.0,5.469350057389343,3261309967.661453
SLE,2025,18297540450.0,3425471760.0,5.341611822250142,3426722285.3832583
SLE,2030,18700923210.0,3571652805.0,5.235929758855718,3572904470.9001718
SLV,1975,12482362095.0,1828878285.0,6.825146428484167,1830045805.1005325
SLV,1980,13608328365.0,2036103840.0,6.683513923828168,2037310166.3379865
SLV,1985,15061945170.0,2323202145.0,6.483269311031047,2324452109.13955
SLV,1990,16780162320.0,2671890885.0,6.280257331691148,2673189399.4585233
SLV,1995,18592044615.0,2981231790.0,6.236363330541299,2982593828.1508713
SLV,2000,20827085610.0,3391960785.0,6.140131602376411,3393391203.3809743
SLV,2005,21929814630.0,3665033835.0,5.9835231043644646,3666482793.536401
SLV,2010,23337581775.0,4033056525.0,5.7865744331465825,4034526461.8913293
SLV,2015,24965750100.0,4491533235.0,5.558402619723686,4493023307.163403
SLV,2020,26731531335.0,5059292745.0,5.283649846397651,5060796021.695394
SLV,2025,28078110600.0,5512664160.0,5.093383123850592,5514176840.136339
SLV,2030,28761153555.0,5748169605.0,5.003532521027622,5749687009.980378
SMR,1975,199473720.0,29161425.0,6.840328276138769,29309179.70089375
SMR,1980,220605030.0,32601375.0,6.76674005314193,32755920.884056512
SMR,1985,242209425.0,36125625.0,6.704643172263456,36286816.948562406
SMR,1990,264139680.0,39719955.0,6.650049830116877,39887599.48259868
SMR,1995,301729995.0,45514830.0,6.629267757344145,45693726.570219874
SMR,2000,340288080.0,51517845.0,6.605246783905654,51707484.09917615
SMR,2005,353700000.0,54232170.0,6.521959198756015,54424287.33783706
SMR,2010,367583385.0,57069015.0,6.4410325813403295,57263647.64100944
SMR,2015,380899725.0,59834280.0,6.365911397279286,60031247.97305544
SMR,2020,391443240.0,62116170.0,6.301792914791752,62314837.32942787
SMR,2025,405626700.0,65870925.0,6.157901987864904,66070837.35928821
SMR,2030,413156790.0,67953465.0,6.079995920737817,68153944.09009472
SOM,1975,5427013125.0,867445860.0,6.256313362311741,868182914.6219257
SOM,1980,6075140220.0,987375270.0,6.1528178845313795,988148618.3706237
SOM,1985,6947693235.0,1149268920.0,6.045315516754773,1150088685.7979612
SOM,1990,7901650830.0,1328197185.0,5.949154929130496,1329064439.4723072
SOM,1995,8971012620.0,1493420985.0,6.007021938291566,1494349545.7755406
SOM,2000,10378855515.0,1719882915.0,6.03462911601747,1720883974.787879
SOM,2005,11730801675.0,1961448870.0,5.9806818594256805,1962508365.6745486
SOM,2010,13526734245.0,2302748895.0,5.874168162395319,2303876429.0288835
SOM,2015,15619028220.0,2764530435.0,5.649794273290393,2765718672.6610203
SOM,2020,17912051940.0,3524013225.0,5.082856049724388,3525220167.4613705
SOM,2025,18621378075.0,3775408620.0,4.932281495664965,3776620863.3980227
SOM,2030,19129655730.0,3945945795.0,4.847926637573084,3947163919.247069
SPM,1975,10667805.0,4136385.0,2.5790164600248766,4157365.922644092
SPM,1980,10807395.0,4191870.0,2.5781799053882875,4212984.320682833
SPM,1985,10947615.0,4247775.0,2.5772586824867134,4269022.055630848
SPM,1990,11089470.0,4304130.0,2.576471900244649,4325511.0038468195
SPM,1995,11743755.0,4565520.0,2.572271066603585,4587504.766070998
SPM,2000,12457905.0,4851240.0,2.5679836495411483,4873864.481023011
SPM,2005,12635415.0,4922265.0,2.5669920250128753,4945045.696929717
SPM,2010,12814245.0,4993635.0,2.566115665241853,5016572.422639084
SPM,2015,12977310.0,5058915.0,2.565235826259188,5081993.946437122
SPM,2020,13084065.0,5101635.0,2.5646807347056386,5124806.171549885
SPM,2025,13213980.0,5153520.0,2.5640688306245054,5176803.14557666
SPM,2030,13271685.0,5176590.0,2.5637890966833377,5199922.655673152
SRB,1975,29813562720.0,6433443465.0,4.634153215489553,6434930263.534
SRB,1980,31705130070.0,6935162970.0,4.571648886572596,6936685834.26228
SRB,1985,33626669565.0,7446750075.0,4.5156167759531,7448308767.545473
SRB,1990,35572701870.0,7966717500.0,4.465164212236721,7968311679.188536
SRB,1995,38687971410.0,8685623775.0,4.454253650884159,8687284261.858236
SRB,2000,41915163720.0,9433173150.0,4.443379025646317,9434899394.290152
SRB,2005,44450942115.0,10135661565.0,4.385598495957674,10137427663.456524
SRB,2010,47079114315.0,10865893545.0,4.332742090655187,10867700118.154604
SRB,2015,49610181855.0,11573300505.0,4.286606213462354,11575145104.962227
SRB,2020,51569834805.0,12135716820.0,4.249426347853756,12137589325.123196
SRB,2025,52758290070.0,12536294385.0,4.208443775309445,12538179188.639389
SRB,2030,53542241070.0,12806293335.0,4.180931958169924,12808185873.89493
SSD,1975,1878756450.0,423131130.0,4.440128170196317,423496466.4353816
SSD,1980,2207346690.0,496538790.0,4.445466768064586,496935026.0176661
SSD,1985,2654917695.0,592557360.0,4.480439994872395,592993620.462087
SSD,1990,3146457150.0,698165280.0,4.506751109135648,698641604.2467163
SSD,1995,3467882400.0,756612345.0,4.583433541518543,757116643.45941
SSD,2000,3917228880.0,841312395.0,4.656093150749312,841852602.1092918
SSD,2005,4725519630.0,994773150.0,4.750348991626885,995372454.4956852
SSD,2010,5914585755.0,1249224345.0,4.73460654098924,1249893711.7025225
SSD,2015,7688319240.0,1711062825.0,4.49330037896183,1711806286.3938024
SSD,2020,11079183045.0,2898227565.0,3.822744348579129,2899050757.6566453
SSD,2025,12098561340.0,3291140115.0,3.6761003534484886,3291983683.8530827
SSD,2030,12800180100.0,3565341240.0,3.5901697028024167,3566198723.0030775
STP,1975,430792365.0,101853270.0,4.229538874893265,102024012.05362591
STP,1980,432917115.0,102702510.0,4.215253502567756,102873383.30442525
STP,1985,435124170.0,103585155.0,4.200642167306696,103756166.15456092
STP,1990,437596230.0,104573955.0,4.1845623033000905,104745122.69265836
STP,1995,437690430.0,104611575.0,4.183957941556659,104782748.75268619
STP,2000,437781900.0,104647995.0,4.1833758974550825,104819174.73005246
STP,2005,440420505.0,105619440.0,4.169881084391283,105790857.67157339
STP,2010,443303520.0,106689165.0,4.155094099761677,106860837.61122756
STP,2015,446057265.0,107706900.0,4.141399158271197,107878820.96704297
STP,2020,449734995.0,109094610.0,4.122430934030563,109266842.46873939
STP,2025,451947990.0,109977885.0,4.109444276001489,110150268.52963348
STP,2030,453484710.0,110590650.0,4.100570075318302,110763139.80637431
SUR,1975,2896854720.0,547334460.0,5.2926591174252025,547829750.8567001
SUR,1980,3101377440.0,594423630.0,5.21745314869128,594932452.8216518
SUR,1985,3309678795.0,642904920.0,5.1480066368134185,643427042.5664899
SUR,1990,3521425395.0,692660010.0,5.083916126470186,693195212.8602884
SUR,1995,3862679325.0,764130750.0,5.054997884851512,764689689.5075352
SUR,2000,4221739425.0,840014565.0,5.025793124194221,840597215.3441936
SUR,2005,4500648555.0,904185570.0,4.9775717555412875,904784265.9312236
SUR,2010,4794459930.0,971965065.0,4.932749234150715,972580205.5504159
SUR,2015,5057310645.0,1032975870.0,4.895865229649556,1033605281.2975458
SUR,2020,5164922730.0,1059370320.0,4.875464823292387,1060005065.9218949
SUR,2025,5239433880.0,1082976810.0,4.8379926805634925,1083613656.5154083
SUR,2030,5282197365.0,1098042435.0,4.810558496311666,1098680059.5843868
SVK,1975,27519169080.0,5553704445.0,4.955101473715532,5555181524.687837
SVK,1980,29202591690.0,5994785550.0,4.871332168003908,5996294221.067071
SVK,1985,30908367390.0,6443530335.0,4.796806375243052,6445070524.35846
SVK,1990,32635841025.0,6899681670.0,4.73005025244882,6901253263.678171
SVK,1995,34613120535.0,7405090140.0,4.674233517838042,7406699064.15315
SVK,2000,36644329440.0,7926875760.0,4.622795985388321,7928522085.649548
SVK,2005,38409894630.0,8422142640.0,4.560584672073424,8423816780.145654
SVK,2010,40255795620.0,8939254515.0,4.503260932156153,8940957605.61043
SVK,2015,42210864225.0,9490312545.0,4.4477844143540795,9492045726.232376
SVK,2020,44422471110.0,10129828155.0,4.385313396266592,10131593630.381437
SVK,2025,45471048285.0,10476806550.0,4.340163013222765,10478583521.63484
SVK,2030,46183450875.0,10722709725.0,4.307069020746059,10724493721.908226
SVN,1975,9330891540.0,2182816845.0,4.274702003227394,2183615712.0052814
SVN,1980,9921734415.0,2372752020.0,4.1815302784991415,2373566764.454381
SVN,1985,10523267085.0,2566540155.0,4.100176287715241,2567371031.647126
SVN,1990,11133567510.0,2763640170.0,4.028587958323098,2764487306.881539
SVN,1995,11731708485.0,2935275855.0,3.9967993008275537,2936142012.346171
SVN,2000,12348745560.0,3112917435.0,3.9669364247047563,3113802752.466778
SVN,2005,12970539975.0,3301702455.0,3.928439994754161,3302605374.6021028
SVN,2010,13617231570.0,3497705880.0,3.8931894324973944,3498626874.784334
SVN,2015,14241418410.0,3687486330.0,3.8620938860538097,3688424427.606606
SVN,2020,14739164475.0,3841552860.0,3.8367725271909965,3842504076.663701
SVN,2025,15115478850.0,3974389635.0,3.803220176725325,3975348696.992934
SVN,2030,15377698455.0,4069252890.0,3.778997980879974,4070217149.644801
SWE,1975,43127393640.0,7702963335.0,5.598805519953835,7704928885.872699
SWE,1980,45838539885.0,8290427175.0,5.529092641115927,8292440909.971868
SWE,1985,48596081940.0,8891091405.0,5.46570490914889,8893152906.757942
SWE,1990,51394166910.0,9503305500.0,5.408030596301466,9505414305.26221
SWE,1995,54615214305.0,10180546410.0,5.36466434172466,10182711560.498964
SWE,2000,57959637210.0,10887917115.0,5.323298900774191,10890138957.381626
SWE,2005,60633004740.0,11520214650.0,5.263183593545282,11522474287.619707
SWE,2010,63451680375.0,12188717415.0,5.2057717161375345,12191016336.357637
SWE,2015,66340642500.0,12879436695.0,5.150896275281549,12881774946.546272
SWE,2020,69260390775.0,13596548190.0,5.0939686902253385,13598924103.338758
SWE,2025,70736894775.0,14039673015.0,5.038357709572341,14042060977.408886
SWE,2030,71787082290.0,14364861675.0,4.99740853160704,14367257502.631514
SWZ,1975,950910360.0,252085785.0,3.7721697000884045,252325351.11605123
SWZ,1980,1158174390.0,308138115.0,3.7586210001966163,308402028.27618426
SWZ,1985,1474824630.0,397373460.0,3.7114321374155184,397669398.1429646
SWZ,1990,1865086080.0,511820970.0,3.6440204472278657,512150731.4122085
SWZ,1995,2289838905.0,612354375.0,3.7394015597585955,612724512.859138
SWZ,2000,2923445925.0,784277955.0,3.7275635587640608,784695516.1188039
SWZ,2005,3391626465.0,931188210.0,3.6422566658141,931632789.3355539
SWZ,2010,4138086735.0,1184407110.0,3.4938043684996116,1184888070.131603
SWZ,2015,5260874025.0,1591139940.0,3.3063553322657464,1591667490.0944545
SWZ,2020,7317508830.0,2399912025.0,3.0490737801107524,2400509508.0449047
SWZ,2025,8651424150.0,2923801650.0,2.958964110988856,2924441640.669542
