Countries,Years,grad(built_surface_area/cement_CS),grad(cement_CS),CS_tapio_elasticity
Belgium,2015 - 2020,0.04471457391875241,0.08804463130796174,0.507862583493026
Brazil,1975 - 1980,0.44431971620640054,0.5926716375842089,0.7496895211950647
Brazil,1980 - 1985,-0.0692690043718534,0.020944550923331823,-3.3072566046135217
Brazil,1985 - 1990,-0.12960913641412525,-0.05007436318178166,2.5883331944455037
Brazil,1990 - 1995,-0.1111242862995982,0.006274942551119292,-17.70921174087505
Brazil,1995 - 2000,0.29370234335236256,0.4568328577444166,0.64290984847828
Brazil,2000 - 2005,-0.16636174362850337,-0.10673045293614154,1.558709244193315
Brazil,2005 - 2010,0.4505848360094113,0.5541345779847935,0.8131325023030348
Brazil,2010 - 2015,0.07547338661271413,0.14487869597481487,0.5209419238963479
Brazil,2015 - 2020,-0.07769418391892649,-0.03423885656431911,2.2691816174694606
Bulgaria,1975 - 1980,0.1487140179474587,0.2267854855516331,0.6557475121731299
Bulgaria,1980 - 1985,-0.03392701649912723,0.028656849639807018,-1.1839060094030525
Bulgaria,1985 - 1990,-0.07858442317220417,-0.021623458717283203,3.634220787694486
Bulgaria,1990 - 1995,-0.20894847217306708,-0.14749294211854197,1.4166675989494637
Bulgaria,1995 - 2000,-0.5522185541723007,-0.5191669786023455,1.063662707630084
Bulgaria,2000 - 2005,0.36324052866452655,0.4459415099505535,0.814547469924482
Bulgaria,2005 - 2010,0.04721291010887147,0.10937144855769305,0.4316749090505721
Bulgaria,2010 - 2015,-0.07868389044549905,-0.026315231791761283,2.9900512018341114
Bulgaria,2015 - 2020,0.18898744735067668,0.2522948104256038,0.7490738593943649
Canada,1975 - 1980,0.06121033636509331,0.13285566660287942,0.46072808130990683
Canada,1980 - 1985,-0.09575306984320574,-0.0370349769404604,2.585476696722236
Canada,1985 - 1990,0.012869195066774183,0.07601976763265401,0.16928748228962315
Canada,1990 - 1995,-0.18895981847531124,-0.12067767691804486,1.5658224727315428
Canada,1995 - 2000,0.4336263425922014,0.5535587976941782,0.7833428795612147
Canada,2000 - 2005,-0.08722037830302048,-0.02852548370069272,3.0576301253360483
Canada,2005 - 2010,0.03169542385539832,0.09923060720777854,0.3194117696874656
Canada,2010 - 2015,0.01043529340668286,0.06956304761906935,0.15001202166740935
Canada,2015 - 2020,0.1743976178131752,0.21556169884751958,0.8090380561369469
Chile,1975 - 1980,0.12141658917646564,0.20109942451668913,0.6037639812658406
Chile,1980 - 1985,-0.05814650210132378,0.00601260184302405,-9.670772091584045
