Countries,Year,ΔTotal,Δcement_CS/cement_consumption(volume),Δcement_consumption(volume)/cement_production,Δcement_production/GDP,ΔGDP/Population,ΔPopulation/energy_consumption,Δenergy_consumption
Algeria,2012,0.1597428540000001,-0.04260332052085661,0.20234617452085693,-0.11122115155750259,0.05660184418113875,-0.20255957045367662,0.2571788778300409
Algeria,2013,0.13945942899999997,-0.008837993791284103,0.22725526568963383,-0.11210125276806335,-0.02508600359323015,-0.09929409785427207,0.15752351131721606
Algeria,2014,0.3920813860000001,-0.1406773630029048,0.1242268773267122,0.28139212557056803,0.06335326602966355,-0.22360963112819288,0.28739611120415376
Algeria,2015,0.3391435819999997,0.010455984744317345,0.0020985093317415333,1.1970868488608166,-0.942295913009573,-0.11064317544721096,0.18244132751990802
Algeria,2016,0.03330655800000004,0.2728849755823433,-0.2395784175823422,0.1381349891309148,-0.21346427144583627,0.07532928231492209,0.0
Algeria,2017,0.11287515900000011,0.07924728565086249,-0.5696740976556242,0.4137774221061728,0.11414640681378532,0.023676504047773866,0.0517016380370277
Algeria,2018,-0.30823922999999986,0.19964428049622387,-0.15416445404619403,-0.4449432402942411,0.019807646660530462,-0.18634644483384155,0.2577629820175232
Algeria,2019,0.07917865800000001,-0.050796005485155095,0.0,0.15049851125136868,-0.08747290901041542,-0.0664944223986574,0.13344348364285868
Algeria,2020,-0.21857168800000037,0.20988999963714325,0.0,0.14219910924198131,-0.6324915814770846,0.29788146429699247,-0.2360506796990334
Algeria,2021,0.13516769000000028,-0.0925208219338318,0.0,-0.20270312263504583,0.3719087365453445,-0.21693822177217567,0.27542111979570827
Algeria,2022,0.3918536589999997,-0.1921481602591914,0.0,-0.1411794140495152,0.6634913927009695,0.1526185118672926,-0.09092867125955455
Argentina,1991,-0.020223394999999922,0.015082101170873444,0.0,-0.39692565101304117,0.34412137130503156,-0.002267744465298831,0.01976652800243478
Argentina,1992,0.013722365000000014,-0.001887583163507487,0.0,-0.21382312531549844,0.2124292700300003,-0.06494055230580191,0.08194435575480732
Argentina,1993,-0.021393605999999954,-0.0017432377205214733,-0.019650368279478487,-0.041799920247222774,0.02520961086966929,-0.02523246055538229,0.041822769932936016
Argentina,1994,-0.03001021100000001,0.020847578293999226,0.014428026796317125,-0.16552689630849046,0.08413108523801678,-0.045522683926287354,0.0616326789064449
Argentina,1995,-0.0034542520000000465,-0.005220717692112062,-0.025168130694456073,0.024225834399756545,-0.012829145711942897,-0.02156670324938369,0.037104610948138224
Argentina,1996,0.0516402199999999,-0.01996615374121163,0.014751305002689582,-0.007239574842471088,0.04892927731090016,-0.042017284396978556,0.057182650667071275
Argentina,1997,0.127076285,-0.022357281518681018,0.036113075719046504,0.01858923815456419,0.07925315385252424,0.004623331308985458,0.010854767483560283
Argentina,1998,0.09456132900000003,-0.005227267963555955,0.022099830578332577,0.04881649354390806,0.01262258770344405,-0.03561392789317636,0.051863613031048035
Argentina,1999,0.014638495000000029,0.021634197064942434,-0.006995702064942869,0.07724794751260082,-0.0940465651713961,-0.000734553467089527,0.017533171125884702
Argentina,2000,0.12753521499999998,-0.02962057966510509,0.002251664377428821,0.1512375067365468,-0.013654044555311863,0.011243641476381355,0.00607702663006026
