Countries,Region,Start_Year,End_Year,ΔTotal,Δtotal_CE/energy_consumption,Δenergy_consumption/GDP,ΔGDP/Population,Δbuilt_surface/Population,Δcement_CS/built_surface
Estonia,Europe,2005,2010,191.5034062198113,4.251069306261809,-58.92557712784407,99.6781531167516,-15.084459272616149,161.58422019725805
Estonia,Europe,2010,2015,-136.61843435559462,-16.25401008499022,-64.31524789879711,55.53408829782241,-15.335395861458414,-96.24786880817128
Estonia,Europe,2015,2020,-144.64282236814796,-23.067282387546197,-87.28106284995899,54.20237041036196,-5.225006919141881,-83.27184062186286
Finland,Europe,1975,1980,40.0522760159717,-3.3026986180709206,-57.70939815440867,89.77378440719406,-8.588322825241265,19.87891120649849
Finland,Europe,1980,1985,-9.268829521807788,-26.287746573355538,6.810499606730333,2.614476290992101,-7.05231525243371,14.646256406259043
Finland,Europe,1985,1990,-3.6823568696846394,-7.332214971057136,-132.29051413892176,148.92363163165112,-7.60795053047365,-5.375308860883239
Finland,Europe,1990,1995,55.38392893788719,-2.8086543591035507,16.2499672939662,-14.398704977641446,-10.586474362151655,66.92779534281772
Finland,Europe,1995,2000,-55.98935708121985,-12.92212193071962,25.339786690803233,-14.273838815710668,-12.171893647921943,-41.961289377670845
Finland,Europe,2000,2005,-10.58739873150705,-1.5954484327262342,-75.60094016658573,73.51475571075166,-7.08215598381776,0.17639014087100416
Finland,Europe,2005,2010,-3.7126638829626586,8.225506764895473,-23.55688399697993,25.920681420077106,-5.432146611812081,-8.869821459143319
Finland,Europe,2010,2015,-44.28732542560208,-27.796039518154682,-8.078193224780552,-10.218690058979986,-4.074722973131561,5.880320349444827
Finland,Europe,2015,2020,-24.911636361700374,-13.896899762414952,-17.060867776711575,12.383797917914587,-3.1039732421060795,-3.233693498382376
France,Europe,1975,1980,2.0949943584218573,-7.78624641148133,-53.250041228517546,64.53190333847684,-5.369711069807472,3.9690897297514085
France,Europe,1980,1985,-14.141018263547977,-26.549377767548798,26.365680250830522,-25.033105603519893,-4.400988067946915,15.476772924637087
France,Europe,1985,1990,-7.769240686672873,-11.641754027467849,-61.23062716872524,67.44668491781619,-3.6941303931633858,1.3505859848673827
France,Europe,1990,1995,5.426587983283142,-9.15115262753543,-12.567947572490114,17.097095818783618,-4.953461810810607,15.002054175335692
France,Europe,1995,2000,-2.7114480375810217,-0.6290981165968909,19.765054979614654,-15.29127911668104,-5.0033527876122506,-1.5527729963055235
France,Europe,2000,2005,-5.2871323225776194,0.5862513844267518,-36.9121981347333,35.12447046780695,-2.87474599082027,-1.2109100492577731
France,Europe,2005,2010,-8.035614339783649,-2.039881660380528,-17.32358238933192,11.506682382890913,-3.055741155835391,2.8769084828733043
France,Europe,2010,2015,-12.911988264234836,-5.74727314442047,0.8779074530442745,-6.529908601122397,-2.4920281710769134,0.9793141993406366
France,Europe,2015,2020,-15.987120393643366,-3.303100644625156,-10.28656861018525,3.2018822176014816,-1.3054488563647337,-4.293884500069694
Germany,Europe,1975,1980,-3.5594890187910835,-9.360035703540436,-73.64709015664891,90.4561181418321,-10.023710250663104,-0.9847710497706366
Germany,Europe,1980,1985,7.407054510401451,-5.855193491198054,37.548028036381176,-34.77768047761497,-10.11824411977387,20.610144562607108
Germany,Europe,1985,1990,-4.455996318863612,-1.8981664082130751,-126.23819263081269,119.85760972155953,-5.624859093972694,9.447612092575245
Germany,Europe,1990,1995,-33.02275546986752,-8.585764868446473,-51.62802974488546,41.93603105514522,-6.492264285462429,-8.25272762621836
Germany,Europe,1995,2000,-2.9154078660447738,-4.473433350115819,29.394592922061072,-29.704403415379993,-7.492261261693974,9.360097239083924
Germany,Europe,2000,2005,4.757502584021395,-2.8085216437386125,-39.89320010704663,38.9189705439083,-5.911679937765306,14.451933728663688
Germany,Europe,2005,2010,-13.631517850974191,-2.342367665604603,-20.495649371660324,18.376077411215068,-6.661606582354389,-2.5079716425699248
Germany,Europe,2010,2015,-8.258283833118071,-1.6187982239541003,-0.44224169808455455,-0.9987808448195493,-4.860034428514522,-0.3384286377453897
Germany,Europe,2015,2020,-27.417466380369554,-8.95368539532343,-16.562016073374302,8.923168667513538,-1.626484776857812,-9.198448802327505
Greece,Europe,1975,1980,-19.107224543257395,-2.5673907955932584,-23.270680492806342,21.554063033932643,0.4121389560713509,-15.235355244861776
Greece,Europe,1980,1985,0.44791400491650535,0.621855692036219,7.229616391296451,-5.264625837304333,-0.5277386008109323,-1.6111936403009088
Greece,Europe,1985,1990,19.164758338421457,1.7552431499044687,-16.203833067091953,24.12322644889335,-0.7814068012026084,10.271528607918206
Greece,Europe,1990,1995,15.212941299860091,-0.8850110460906128,-12.305337646906853,15.793537795321672,-2.5815049447347858,15.191257142270636
Greece,Europe,1995,2000,-7.1290342353531955,-0.9151793954931786,11.946159843104063,-4.0362898485528165,-3.40801197842918,-10.71571285598206
Greece,Europe,2000,2005,-4.89702692345633,-1.1491185523586682,-29.06225919060121,31.883116652351834,-2.365576258797754,-4.203189574050524
Greece,Europe,2005,2010,1.1156420760216008,-3.247751587391075,-11.71474633488168,8.310059510950408,-2.4402931918411195,10.208373679185044
Greece,Europe,2010,2015,20.53239054652625,-3.6526048503983066,13.270600313205618,-23.172852286111596,-4.796454823121214,38.883702192951766
Greece,Europe,2015,2020,-21.12236545715541,-9.289806014936424,-4.476727386864606,-1.5436688212983927,-2.3283147686661034,-3.483848465389897
Hong Kong,Asia,1975,1980,-57.66626687964752,-0.5232778712054209,-96.55382237693715,124.76772058811532,3.417887170828076,-88.77477439044836
Hong Kong,Asia,1980,1985,4.073428206574775,12.71729110884282,4.240488604660198,15.108154311375174,-4.532425598001353,-23.46008022030212
Hong Kong,Asia,1985,1990,22.26639053450205,0.5612920269985574,-53.7812875753363,88.55554084785066,-10.514677880349172,-2.5544768846616224
Hong Kong,Asia,1990,1995,-48.309505999667024,-3.038575897468992,-39.84815678575327,59.94853050146994,-6.836706231607471,-58.53459758630728
Hong Kong,Asia,1995,2000,-1.873354343952812,-5.550992457137076,-7.022498949033786,7.7731466039641735,-6.327927644019051,9.254918102272942
Hong Kong,Asia,2000,2005,3.297813657847925,3.2659473081205355,21.851572753011293,2.909028225438887,-2.4316686613143736,-22.29706596740843
Hong Kong,Asia,2005,2010,19.08462831576621,-2.5255221257404985,-4.9696675778586,19.25219847004815,-2.0826012295860497,9.410220778903188
Hong Kong,Asia,2010,2015,-8.089798857042112,0.7666792505700711,-29.110260637248,27.046882445989024,-1.5502714146061352,-5.242828501747025
Hong Kong,Asia,2015,2020,-55.29124153023943,-3.0825810380934686,-23.10059973043498,5.534485491931795,-1.8070715149337044,-32.83547473870911
Hungary,Europe,1975,1980,-9.275875581535146,-4.662268499059288,-52.71039918741658,69.01805230405674,-5.102343560663948,-15.818916638452047
Hungary,Europe,1980,1985,9.058661157666648,-7.822815058400355,10.597369213863368,-6.6208756209883095,-6.95887068545422,19.863853308646103
Hungary,Europe,1985,1990,-15.943092775957169,-7.772942372705538,-48.77660985951092,48.02771938488181,-8.374414854909192,0.9531549262867297
Hungary,Europe,1990,1995,-1.8045442370334968,-7.348059507274335,-36.8447892129971,26.790771691456225,-7.285850462824845,22.883383254606535
Hungary,Europe,1995,2000,-11.539423761153103,-1.840641313286733,-2.959451772810047,2.3018589886330796,-7.048534571143547,-1.9926550925458755
Hungary,Europe,2000,2005,-5.268989234102364,-4.542803558729754,-56.70572500860282,64.45625775108275,-4.818914665896719,-3.6578037519557993
Hungary,Europe,2005,2010,-1.0533686398505324,-4.052872397414778,-18.03315768770346,11.37639435857255,-4.316829065194546,13.97309615188969
Hungary,Europe,2010,2015,-8.10628693367672,-0.04443720112914938,-3.305934523326139,-2.505032402476059,-4.194554492504296,1.9436716857589242
Hungary,Europe,2015,2020,-1.8538758281065668,-3.273698974807376,-9.208732328581384,14.27166242015618,-2.6692727785876893,-0.9738341662862605
Iceland,Europe,1975,1980,11.416614872939114,-7.688033010278702,-41.63703744401683,49.83550502899879,-0.9124469532147697,11.818627251450637
Iceland,Europe,1980,1985,5.2699870456690405,-10.54918189685601,19.10436918056746,-12.423453049069249,-0.19617153899106038,9.334424350017906
Iceland,Europe,1985,1990,10.083840552379812,0.9939166169395248,-48.674174436859744,54.71324880478217,-0.28182506928408757,3.332674636801887
Iceland,Europe,1990,1995,28.076976567871412,-2.908889418422179,2.0178597704292462,4.53922537140716,-1.7354008677387678,26.164181712196026
Iceland,Europe,1995,2000,-26.756502535884835,-12.720219550400099,4.860963855872608,17.7726617577312,-1.612589747100955,-35.05731885198755
