,Countries,Year,total_CE,cement_CS,energy_consumption,Population,GDP,cement_production,built_surface,total_CE/energy_consumption,energy_consumption/GDP,GDP/Population,built_surface/Population,cement_CS/built_surface,CFP
10,Argentina,1975,93.1,0.205075469,1.45,0.25875558,1e-22,0.907,2507043584.0,64.20689655172414,1.45e+22,3.864650957478869e-22,9688848387.346855,8.17997223138822e-11,453.9792128916208
11,Argentina,1980,101.7,0.745093985,1.7,0.28024803,1e-22,3.9908,2663361792.0,59.82352941176471,1.6999999999999998e+22,3.56826772341629e-22,9503587918.173769,2.7975695500252937e-10,136.49284794588698
12,Argentina,1985,94.6,1.04856851,1.73,0.30287112,0.088416666667,5.5327,2822958592.0,54.68208092485549,19.566446748276846,0.2919283511316629,9320659533.335499,3.7144310687784965e-10,90.21823476274335
13,Argentina,1990,100.3,1.238932094,1.85,0.32637657,0.141353,6.50319,2985627136.0,54.21621621621621,13.087801461589072,0.43309787831890023,9147798618.01967,4.149654453033481e-10,80.95681796100118
14,Argentina,1995,118.9,1.177572995,2.26,0.3494611,0.258032,6.2,3248187136.0,52.61061946902656,8.75860358405159,0.7383711663472701,9294846081.58104,3.6253237442782606e-10,100.97038612880215
15,Argentina,2000,131.4,1.593024539,2.52,0.37070774,0.284204,8.3,3523645184.0,52.142857142857146,8.866870276280418,0.7666524578094863,9505183743.938015,4.5209561570884884e-10,82.48460509119629
16,Argentina,2005,145.3,1.628062854,2.85,0.39070501,0.198737,9.0,3718392320.0,50.98245614035088,14.340560640444407,0.508662532891503,9517134986.316147,4.378405272738945e-10,89.24716858628113
17,Argentina,2010,166.9,3.349433472,3.18,0.40788453,0.423627,20.0,3922909184.0,52.484276729559745,7.5066036867338495,1.0385954083622635,9617695439.442137,8.538136660570728e-10,49.829322300389315
18,Argentina,2015,191.2,2.156299992,3.59,0.43131966,0.594749,11.0,4120599808.0,53.259052924791085,6.036159791777708,1.3789053807563514,9553470871.23272,5.232976004642867e-10,88.67040797169375
19,Argentina,2020,162.3,2.05881987,3.13,0.45376763,0.385741,9.871,4280299520.0,51.85303514376997,8.114252827674527,0.8500848771429553,9432800484.247852,4.809990189658504e-10,78.83156868891109
20,Australia,1975,191.9,1.073950892,2.61,0.13893,0.097303017889,5.01571,2541038848.0,73.5249042145594,26.823422917646806,0.70037441797308,18290065846.10955,4.2264245304446446e-10,178.6860101606955
21,Australia,1980,224.3,1.104237871,3.04,0.14692,0.149986,5.494606,2787499264.0,73.78289473684211,20.268558398783885,1.0208684998638715,18972905417.914513,3.961392511420588e-10,203.12652363287765
22,Australia,1985,232.8,1.126452969,3.16,0.15788312,0.180637,5.9862,3117750528.0,73.67088607594937,17.493647480859405,1.1441185099458384,19747206211.785023,3.61303112254657e-10,206.66641786799713
23,Australia,1990,274.9,1.192300803,3.72,0.17065128,0.311421,7.068,3506039808.0,73.89784946236558,11.945244540348916,1.8248969477404449,20545054265.048584,3.400705263754952e-10,230.5626225431637
24,Australia,1995,307.7,1.191953358,4.16,0.18004882,0.368166,6.0,3789650432.0,73.96634615384615,11.299250881395892,2.0448120681935045,21047904851.584145,3.1452857707800313e-10,258.1476850036275
25,Australia,2000,355.1,1.332894704,4.7,0.19028802,0.416168,7.5,4153664256.0,75.55319148936171,11.293516080044599,2.187042568418127,21828301413.82521,3.208961104823587e-10,266.41264229976264
26,Australia,2005,382.9,1.71564223,5.08,0.20176844,0.695693,9.0,4371384320.0,75.3740157480315,7.30207145968121,3.44797729516073,21665352222.577526,3.924711497340961e-10,223.18172944483885
27,Australia,2010,402.0,2.094758289,5.43,0.2203175,1.14889,8.3,4654624768.0,74.03314917127072,4.72630103839358,5.214701510320333,21126895357.83585,4.500380575038439e-10,191.9075828991743
