Countries,Years,grad(cement_CS/built_surface),grad(cement_CS),CS_tapio_elasticity
Canada,1980 - 1985,-0.092867901,-0.037034977,2.5075728149192993
Canada,1985 - 1990,0.016021730336619754,0.076019768,0.2107574231749911
Canada,1990 - 1995,-0.184941298,-0.120677677,1.5325228516540026
Canada,1995 - 2000,0.4410119608118252,0.5535587976941782,0.796684946
Canada,2000 - 2005,-0.084214499,-0.028525484,2.952254883547758
Canada,2005 - 2010,0.035425282,0.099230607,0.3569995471163499
Canada,2010 - 2015,0.013748764064833998,0.069563048,0.19764464806261653
Canada,2015 - 2020,0.176543727,0.21556169884751958,0.8189939494234574
Chile,1975 - 1980,0.12494288455122787,0.20109942451668913,0.6212990656313834
Chile,1980 - 1985,-0.055278235,0.006012602,-9.193729465
Chile,1985 - 1990,0.2118894419596733,0.2873747745449595,0.7373279102008425
Chile,1990 - 1995,0.5334026580470206,0.6682200371806093,0.7982440339526219
Chile,1995 - 2000,0.18337965281160656,0.2852222595334927,0.6429359795113498
Chile,2000 - 2005,-0.03809127,0.053049841259724936,-0.718027972
Chile,2005 - 2010,-0.017952191,0.071543289,-0.250927668
Chile,2010 - 2015,-0.0275945,0.044086169,-0.625921937
Chile,2015 - 2020,0.4573207279709747,0.4999827282191281,0.9146730520069969
China,1975 - 1980,1.3294715409519318,1.8224848358416823,0.7294829097098846
China,1980 - 1985,0.13972852937389799,0.40419992627004714,0.345691625
China,1985 - 1990,0.12590110736652127,0.3803918579091234,0.3309773980404159
China,1990 - 1995,0.6890025258598551,1.0164194025175044,0.6778722682322953
China,1995 - 2000,0.15550385754165588,0.38201493046881335,0.40706225107699234
China,2000 - 2005,0.46343224330421035,0.6859476346041214,0.675608778
China,2005 - 2010,0.5761776688813605,0.8311312095989866,0.6932451365403076
China,2010 - 2015,0.10869559743546373,0.276870143,0.3925869231740874
China,2015 - 2020,0.038963088,0.1620520858804688,0.24043558397451642
Colombia,1975 - 1980,0.2071010256548712,0.330617627,0.6264064853447404
Colombia,1980 - 1985,0.094620298,0.20106963328252955,0.47058472560529296
Colombia,1985 - 1990,0.1140460206394491,0.21701450167948264,0.5255225791679499
Colombia,1990 - 1995,0.099964999,0.19621271726702294,0.5094725799834955
Colombia,1995 - 2000,-0.343009778,-0.287000359,1.1951545257900411
Colombia,2000 - 2005,0.2109858205566405,0.27341396999686884,0.7716716909492837
Colombia,2005 - 2010,0.16879791430010083,0.22944576432155667,0.7356767504478272
Colombia,2010 - 2015,0.5680921472744859,0.6448180394130665,0.8810115607056854
Colombia,2015 - 2020,-0.187303277,-0.152777099,1.2259905277859213
Croatia,1995 - 2000,0.2860371290472549,0.39387007343261354,0.7262220420922445
Croatia,2000 - 2005,0.4420835914555354,0.5416269693080128,0.8162141409249711
Croatia,2005 - 2010,-0.221121085,-0.168677188,1.3109128011431366
Croatia,2010 - 2015,-0.398050744,-0.361099332,1.1023303240226152
Croatia,2015 - 2020,0.5266415735646366,0.5991734045057328,0.8789468451108428
Cyprus,1975 - 1980,1.0265687966056927,1.1290168933517974,0.9092590222968592
Cyprus,1980 - 1985,-0.345598197,-0.313810123,1.1012971562853502
Cyprus,1985 - 1990,-0.241860369,-0.206480247,1.1713487030336764
Cyprus,1990 - 1995,-0.352044099,-0.245312396,1.4350848337819966
Cyprus,1995 - 2000,0.5451364033390219,0.7786273873855907,0.700124876
Cyprus,2000 - 2005,0.5863023961879064,0.7474258172786271,0.7844288792734373
