,Countries,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030
132,Malawi,3260931208.378638,4287596450.742944,5838755428.159865,7743262701.18739,8262787798.642557,8980696199.366667,10082219333.64893,11716730528.513294,13833424785.080648,16443611889.91689,19042394411.69216,20431182152.449184
133,Malaysia,8368938894.665162,9834932850.894323,11872410931.27238,14356066465.955366,17424534482.466965,21656954434.551445,23427772122.777046,25650524702.123287,28123988952.62417,30439895366.170185,32121589829.279716,33113356966.28257
134,Maldives,10831617.38526385,15796087.426068146,24773875.12104561,37664078.5206105,37821437.931329794,37982294.49822197,38201243.85711035,38445099.79114479,38661420.00983354,38862722.64310235,38862722.64310235,39880536.19319505
135,Mali,3791876808.833,4601970921.320621,5704388069.658973,6965852464.484083,7958811643.159082,9256119070.5589,10528707186.662271,12228574757.073648,14109186454.741268,15493330380.354568,16862494697.390123,17737778332.230072
136,Malta,324738472.65839154,349386152.313125,379625957.583947,417226807.3815024,432072729.4838213,447500915.3643003,458036178.0658385,469313844.3149605,483395628.80551535,506995371.3951652,507414200.550894,513871057.6248066
137,Marshall Islands,11379051.744901745,12605103.860486817,13857621.785816371,15230483.488808392,15739621.855650743,16253517.326690486,16512895.874357246,16791993.27182431,17047943.651479483,17271763.11960207,17271763.11960207,17328379.80700873
138,Martinique,255768100.0093564,303694713.1910154,364430355.32488006,434412310.1764007,445903791.5370022,458586871.9168138,486606401.4730035,517601329.4629698,547861790.7306768,569031648.2378715,574255744.0341545,594627424.381985
139,Mauritania,612432744.8564206,684482135.0734876,780190355.5820678,890687563.7679226,1017489169.4769956,1233581388.6226094,1501085993.5757425,1924254995.284627,2520587563.993911,3382384685.8878016,3690566182.53508,3856281970.621788
140,Mauritius,383865726.2152002,471128703.62057465,591319869.2364867,731624316.4197298,737220291.3732826,743371338.9674654,826459888.6979845,928088843.1692716,1030197678.0847132,1070222235.2328856,1109732020.8485126,1137346304.448596
141,Mayotte,47184654.90903665,62580452.88728964,87114995.00284772,119992721.74308196,120238083.53024843,120494153.45775484,122859559.87166284,125890639.73591426,128748193.55374683,129649134.28294627,129886988.0756246,132698972.80204137
142,Mexico,51081856128.57309,56624049198.08698,63937303954.4739,72613493713.74652,83066820582.72487,96010019311.54243,104562448096.44424,115474268683.92535,128686858508.2586,145855471163.95914,155088018257.81247,160483390327.14508
143,"Micronesia, Federated States of",29023229.691362716,34729941.41168803,40645889.72287045,46919281.920567214,48769399.4006643,50636295.18795497,51463657.73566423,52311218.8620321,53202268.591118336,54283351.78617942,54368280.0722282,55084948.06597216
144,"Moldova, Republic of",4311350667.021827,4668718701.429325,5034113106.170096,5406823793.968013,5788302458.416493,6183963681.371733,6502703955.036112,6828925597.127181,7132632189.989176,7328809780.817033,7462639679.493236,7564177935.256426
145,Monaco,8305373.6109063,8394359.488906559,8484592.66843879,8574879.195065748,8628435.139132807,8681358.701954437,8718777.514777886,8756192.396300832,8787895.361803891,8797098.805233967,8797098.805233967,8798202.57791667
146,Mongolia,1480273828.4905038,1591571661.5007484,1705188012.482182,1820938874.2132711,1904457600.411879,1990117908.4418592,2116698611.6318424,2248247398.191225,2365632332.7706766,2416884974.5372024,2424467603.585071,2438531921.327075
147,Montenegro,280613038.6731348,299175417.7779998,318085464.8496896,337328020.25813043,367898222.4121541,400071509.836494,445812281.40796,494187374.5846806,542440636.6316311,585717593.9776046,611561674.1909105,626371012.4125892
148,Montserrat,4966661.793105927,5664764.72973399,6857151.575666247,8442174.094955461,8567349.268569322,8693874.095180389,8951380.446573664,9310067.08985052,9913656.068227606,11962037.084005626,12437587.485850329,12785313.4647768
149,Morocco,5328829824.158817,5831982882.084659,6427290280.409005,7075298284.503529,7853176954.762357,8705751117.295223,9523490301.466743,10452979201.81377,11430050062.193542,12383036169.599428,12900012713.49361,13205183031.096474
150,Mozambique,6062422984.564101,7022727546.752827,8311966843.647603,9787638012.441357,11254804319.103128,13557416734.791985,15753713443.258026,19127486911.41271,23558685970.815662,29023635918.27241,33109558084.273235,35587754332.07154
151,Myanmar,7088766881.358606,8422517318.175184,10120824862.1571,12088283867.028364,13057584097.47786,14185233765.812777,15037350968.331654,16043858230.306557,17133920818.753572,18215515149.62031,18838822250.036163,19419556507.31897
152,Namibia,1158628710.858027,1382270516.467615,1685124610.1938422,2021199394.029151,2212774026.267258,2469326883.798807,2688769229.292856,3062838796.8850107,3615051975.993712,4511008806.51174,5156935057.792255,5596093701.150881
153,Nauru,5382486.670530802,5938537.664233286,6519527.384884927,7115034.628091786,7500320.015264278,7886717.10870853,8011033.112480605,8137093.450770657,8258222.639238042,8351820.50674709,8424719.199547356,8472348.413062844
154,Nepal,4041303649.488469,4649877854.139982,5532010691.932493,6622053183.255838,7360188498.740324,8444267667.688121,9632946866.174978,11401314436.177574,13690109155.439804,16537401195.596382,18742671816.45434,20068171217.317738
155,"Netherlands, Kingdom of the",14155926889.709654,15315818725.24747,16502803568.132946,17711485038.32428,19966365993.66364,22397775383.627857,23993812507.56121,25683012566.28801,27280670879.167477,28275530105.672657,29324807724.084667,30067672975.21159
156,New Caledonia,325651581.0921987,362036813.9713221,400379022.00887793,440783087.3953164,449409642.1813561,457970462.706079,495298058.59863055,534879131.6828453,569203622.1353923,577681849.621364,581742467.6905273,591103661.2850313
157,New Zealand,7688882849.409019,8374958250.379621,9164030999.89758,10518760874.166416,10567447654.018858,10654907134.375158,11127435693.328735,11681675064.025394,12355191951.067644,14098973624.744473,14346229940.0477,14568407107.600157
158,Nicaragua,1700609169.5121572,1912240163.5848725,2183829844.2353816,2496148130.705717,2677329776.162185,2902907152.3492203,3134594470.1563115,3450703562.2315083,3848208169.695696,4402682494.408655,4770698589.306459,4999869868.161532
159,Niger,2213212213.342468,2612215337.9692388,3187929221.163906,3835835262.509417,4246107660.822362,4809643286.696558,5521793080.658737,6574441940.742391,8104267675.202069,10866346057.239302,12304211477.783789,13184619298.672136
160,Nigeria,33012212570.024048,38589277924.76525,46273577709.12918,55446146022.01483,60345111661.54752,66516655792.19867,77229691609.4401,92376109283.36913,109594667918.62103,122291761544.7012,133086022819.10262,139831707830.12286
161,Niue,275999.31554281706,334398.61146772094,392647.797206094,484677.7925286681,489770.1656592981,494604.268155013,495360.8373031704,496371.94947836257,498863.8007070807,506961.05371096334,506961.05371096334,506961.05371096334
162,Norfolk Island,4502471.33280951,5487544.178526991,6510600.261631402,7578801.194195837,8062009.881696791,8543884.07302817,8733856.498137616,8924125.957698423,9118676.316610562,9327419.031773334,9327419.031773334,9450093.919532333
163,North Macedonia,1397427641.4449885,1500039330.960645,1604857866.9648545,1711752143.8342834,1855198894.338822,2003797967.1765828,2156251872.003626,2314197661.4523816,2476372610.699592,2643558588.2792416,2720002489.4275527,2764669869.8056445
164,Northern Mariana Islands,41896382.32308681,47085933.264758654,52515987.631337546,58312803.60755755,60617560.23120354,62931943.08587827,63883133.76701442,64888569.28572567,65865512.26316036,66796207.79353626,66986528.3385714,67988388.11766952
165,Norway,2736052145.811761,2979609952.7158394,3229712733.088145,3485129711.217865,3855001540.132387,4251333549.250572,4598471235.283366,4964526243.124756,5336464530.165743,5699989004.065645,5905804082.860362,6040947768.193293
166,Oman,2445162726.09837,2892882485.331169,3499498484.0485125,4213351295.344605,4345347750.297819,4513455129.478348,4734062448.078555,5050543876.403517,5536563829.064469,6490901002.223148,6870009604.792256,7104643281.532823
167,Pakistan,22909420875.07515,27145763493.11612,33000543236.062805,40003763486.48431,45204842616.4004,51788888834.78441,57196212679.22716,64545604250.7686,74485822903.60834,90481173762.13004,100861022102.08829,107264322164.5054
168,Palau,11045754.291465396,11470655.909227928,11899496.619528811,12340691.31391917,12768092.687797906,13196922.488035545,13387783.241914386,13583626.105808496,13779696.527258892,13995501.945049437,14045485.168501368,14094897.524765
169,"Palestine, State of",1592403600.9834394,1674991450.6006494,1758786622.0028913,1843484307.049126,2156884697.9708323,2485350729.514974,2728432834.900687,2978492487.543965,3212217870.958477,3362821897.401401,3420790457.250574,3467532820.8350854
170,Panama,1486945452.8947773,1672188792.2029672,1919618778.067798,2210959805.128463,2500701549.47007,2879540377.0596247,3094265961.746024,3375564335.956032,3741306038.432599,4294028197.1696,4607163757.878257,4770416184.556204
171,Papua New Guinea,1348723313.5077524,1491626405.4698043,1672618317.483714,1880768412.3465807,1942303474.530845,2035457937.9616947,2133184335.3989727,2271756575.419996,2441441100.6152663,2652081963.059556,2830803977.0569663,2954871028.9676995
172,Paraguay,4283146274.4649305,4778816981.630049,5289986663.691129,5815374685.454125,6391438015.868255,7007750030.889291,7356987354.391059,7724284025.788272,8089189488.652078,8436928029.416449,8551539637.02836,8667749345.201015
173,Peru,11960414016.688507,13404391653.652409,14938534727.676895,16554102104.605362,17531676130.122513,18593803092.89302,19377023708.685883,20215791322.79785,21076430229.629658,21950389154.23481,22146255466.33512,22547256941.6414
174,Philippines,12009116227.284595,14108349281.360231,17001184595.728737,20581651281.567764,23002731194.83272,25894235234.62705,27704015870.410583,29964696592.54153,32462498008.00676,34840193691.594864,37205778387.675,38626900135.58317
175,Pitcairn,40450.66353474853,47968.90074152825,55561.75632518703,63996.55229046255,64485.00000291512,64654.87531508848,65114.35713455629,65847.02209513154,66523.18231839476,68086.25078215732,68086.25078215732,68086.25078215732
176,Poland,32929759527.513195,35885504899.8035,38915023508.00198,42007258962.41467,45766132531.81192,49706009602.10847,54282780175.56004,59072198928.297874,63849507923.07317,68159662578.32831,71209663825.41054,73355541752.33142
177,Portugal,28583912414.637104,30311320553.279152,32073855008.08369,33866044048.70612,39399202606.7916,45390054286.0321,49812114007.49955,54443404443.94605,58783624021.162605,61442470973.46909,64393769129.08205,66199892109.87517
178,Puerto Rico,3089123866.456612,3529008939.53743,4118651908.722155,4815209162.319924,5115262717.841244,5494729538.5587225,5757023663.41993,6082147263.305446,6448394278.780692,6814007326.517272,7121214669.592865,7290232842.925463
179,Qatar,1004287699.7741532,1075894577.0628667,1166280582.8040664,1267616612.8338327,1427230733.1469302,1632320291.654242,1809438023.7965,2070286612.7394264,2461097557.9008203,3193239906.807662,3394853930.0767965,3520979082.9703364
180,Romania,16702764104.796112,18042164714.042583,19407321221.361,20796104883.753426,22954666352.82633,25209796643.22006,27438498584.78344,29769804303.39893,32106777760.05889,34234957530.331333,35559600298.81336,36436590105.959145
181,Russian Federation,96642836512.80331,103273848320.83464,110148634207.87991,117214712104.26262,130733729356.6484,145233853851.9115,156108312644.2747,167588833533.72858,179054342152.51184,188924924743.69672,194361975385.2299,197989207908.119
182,Rwanda,1896724963.7074823,2194137608.9621363,2672484162.842613,3305633513.4810133,3715348673.40109,4353026575.252232,5127264364.702685,6329848923.126364,7973045457.897652,10145002016.025087,11786165517.08871,12531289220.419744
183,Réunion,213485429.35192248,276416709.45381564,373298601.2318804,493656982.6747012,606438230.4408172,754535880.2522374,961403070.6608489,1213369629.580946,1456690220.9081707,1519632995.727455,1600839090.28994,1639580653.9256618
184,Saint Barthélemy,4729971.340549018,6822045.719125542,9669824.694222173,13018480.955122553,13098909.927301144,13183557.610152438,13616066.127245994,14062285.732437989,14909532.40248757,16855481.58534275,17162716.08992628,17674163.838301077
185,"Saint Helena, Ascension and Tristan da Cunha",4055532.317129849,5240174.700532475,6442081.656400024,7791588.730056104,7936406.951912834,8075737.924099711,8190425.316877407,8315371.920233284,8449470.420230582,8638410.145273132,8638410.145273132,8742256.92217682
186,Saint Kitts and Nevis,49234187.91684991,57059294.90752328,68168561.8638707,82217789.55043517,82675438.44625291,83250922.58498226,88250575.81001347,94528710.83906426,102481982.94997723,114824536.81173588,116621540.8040231,118364418.59763476
187,Saint Lucia,71297467.9677445,88012685.49132816,110271722.23799787,136052457.5808863,144314582.12767014,153875617.01539594,166089231.56326336,180141009.2033499,198087838.9113334,226241781.37134323,233327390.990176,240404427.5249185
188,Saint Martin (French part),20016585.598391816,23025462.43353681,26540865.49958565,30572630.36933369,31337240.49636312,32210973.66819708,33326442.504136123,34587929.64298528,35989901.680984564,37215601.22218047,37215601.22218047,38094829.5955178
189,Saint Pierre and Miquelon,4157365.922644092,4212984.320682833,4269022.055630848,4325511.00384682,4587504.766070998,4873864.481023011,4945045.696929717,5016572.422639084,5081993.946437122,5124806.171549885,5176803.14557666,5199922.655673152
190,Saint Vincent and the Grenadines,58059214.72070741,69848798.78708854,84964378.36885735,103019625.12722954,103455478.44854622,103951407.36115636,107594756.88430502,111903352.90534274,118541402.86439766,134370980.12873346,138350007.73565093,141547420.4129215
191,Samoa,97993194.67044216,120938699.6222578,145188216.25599238,170758148.29649863,177918750.55598962,185114111.155987,190975245.2537476,197037563.3177197,202785240.6981199,206677014.89596352,206695704.05270645,209854103.2073269
192,San Marino,29309179.70089375,32755920.884056512,36286816.948562406,39887599.48259868,45693726.570219874,51707484.09917615,54424287.33783706,57263647.64100944,60031247.97305544,62314837.32942787,66070837.35928821,68153944.09009472
193,Sao Tome and Principe,102024012.05362593,102873383.30442524,103756166.15456092,104745122.69265836,104782748.7526862,104819174.73005246,105790857.6715734,106860837.61122756,107878820.96704295,109266842.4687394,110150268.52963348,110763139.80637433
194,Saudi Arabia,13781362208.166555,15708518336.112366,18280354057.240807,21278653473.65519,23568023045.843395,26386260382.560364,28302679023.21622,30814236718.81063,34518020533.82163,41844923795.42473,44523648898.52819,46174689307.21439
195,Senegal,3080677424.309552,3566354170.7572136,4251897560.205872,5063226263.617372,5648695794.249455,6455098592.847301,7102819384.347496,7987086565.269605,9081957796.822271,10419018496.43063,11267863647.520288,11775637849.293509
196,Serbia,6434930263.534,6936685834.26228,7448308767.545473,7968311679.188536,8687284261.858236,9434899394.290152,10137427663.456524,10867700118.154604,11575145104.962229,12137589325.123196,12538179188.639387,12808185873.89493
197,Seychelles,31315848.69060162,40030930.16819548,49083264.4506172,58927972.96036484,60615869.33288619,62321965.80032766,64715046.77867966,67168469.24837306,69511605.44909324,71162193.14611791,71223808.12532723,72291231.53059588
198,Sierra Leone,821125772.6321261,1054129052.2686458,1388400447.0280302,1791645995.4330738,1949757640.751336,2160260118.470722,2411721573.412421,2754500829.9663877,3121195114.141233,3261309967.661453,3426722285.3832583,3572904470.900172
199,Singapore,1140706892.2262678,1195020629.9124143,1258537459.568649,1328970629.2976508,1404059760.5961416,1495316832.0386672,1516803756.8418295,1541980595.2820802,1574559812.218566,1627293027.5702631,1661348030.2828965,1680132075.074309
200,Sint Maarten (Dutch part),31048092.587145813,34886684.04981543,39331018.580891296,44767756.725474656,45651525.97160962,46583335.46969761,47235613.98409401,47942103.64400387,49270636.03832665,53262957.054837056,53262957.054837056,54141609.24489404
201,Slovakia,5555181524.687837,5996294221.067071,6445070524.35846,6901253263.678171,7406699064.15315,7928522085.649548,8423816780.145654,8940957605.61043,9492045726.232376,10131593630.381435,10478583521.63484,10724493721.908226
202,Slovenia,2183615712.005281,2373566764.454381,2567371031.647126,2764487306.881539,2936142012.346171,3113802752.466778,3302605374.6021028,3498626874.784334,3688424427.606606,3842504076.663701,3975348696.992934,4070217149.644801
203,Solomon Islands,191983899.0708221,215731000.5980607,244110963.4264824,276677104.1731489,281056939.32073104,287458030.85446167,295243442.89249194,305050096.06372064,316076384.4859356,327742035.0130308,336043867.4671482,342005264.4279083
204,Somalia,868182914.6219257,988148618.3706236,1150088685.7979612,1329064439.4723072,1494349545.7755406,1720883974.787879,1962508365.6745489,2303876429.0288835,2765718672.6610203,3525220167.4613705,3776620863.398023,3947163919.247069
205,South Africa,31969749138.09059,36571035048.7325,43270251096.754005,51445750819.72371,57235967603.99629,64902109213.934654,69695738001.98312,76172265459.50853,84323875567.51732,95002069980.82916,100964703951.08316,104544182491.8542
206,South Georgia and the South Sandwich Islands,302571.3117865208,370643.99830728536,438678.42376559455,530857.154205213,537200.0549616446,543391.7620834548,544207.4552240425,545038.4507823125,547515.4490158613,556169.1296168594,556169.1296168594,556169.1296168594
207,South Sudan,423496466.4353816,496935026.0176661,592993620.462087,698641604.2467163,757116643.45941,841852602.1092918,995372454.4956852,1249893711.7025225,1711806286.3938024,2899050757.6566453,3291983683.8530827,3566198723.003077
208,Spain,200053237830.15427,216043379144.41092,232391723211.41577,249054306171.77777,276651340969.0626,306277703449.7132,330411984975.18964,356112550408.73724,380177165430.5109,394323915466.10925,408653058423.49554,418252977338.37726
209,Sri Lanka,3953619929.692403,4539948087.058858,5421624758.307973,6574907624.568494,7342066811.622347,8392698510.437108,9175182183.498772,10243768212.80505,11766046567.657925,14499530789.607616,16014657889.300505,16793203971.086096
210,Sudan,7671041068.043435,8575786165.687836,9841818361.318638,11302855229.417896,12078061673.695185,13290398684.705296,14225947844.561478,15692213593.76502,18280956356.74673,24509827396.13713,26368311356.73489,27474222177.534023
211,Suriname,547829750.8567001,594932452.8216518,643427042.5664899,693195212.8602884,764689689.5075352,840597215.3441936,904784265.9312236,972580205.550416,1033605281.2975458,1060005065.9218948,1083613656.5154085,1098680059.5843868
212,Svalbard and Jan Mayen,407269.35914979584,472030.190627355,536926.5514725178,602853.9095397299,602853.9095397299,602853.9095397299,631056.480603133,659431.2081047894,688889.00001152,721531.5320927257,721531.5320927257,721531.5320927257
213,Sweden,7704928885.872699,8292440909.971868,8893152906.757942,9505414305.26221,10182711560.498964,10890138957.381626,11522474287.619707,12191016336.357635,12881774946.546272,13598924103.338758,14042060977.408886,14367257502.631514
214,Switzerland,6437223633.524378,6879288545.420738,7330787532.111347,7790735126.515479,8433384104.089511,9098807724.21792,9788680344.784187,10500143715.76654,11187640927.877542,11730770384.01123,12132410185.80647,12428862032.2441
215,Syrian Arab Republic,7810477989.118144,8280766674.517182,8760075990.358171,9247515364.998774,10229420733.202744,11264299007.0272,12125078795.712215,13019345755.75344,13857329932.73747,14389680621.482708,14740001473.49958,14984868873.944365
216,Tajikistan,3289653374.37249,3931297392.708352,4802422026.545077,5837777356.108462,6669349142.317006,7635294111.745728,8359373927.801387,9213356339.248152,10114867519.857376,10885768456.708405,11396587514.233206,11732728606.715033
217,"Tanzania, United Republic of",12383570018.410906,14337853980.874306,17204909713.500343,20665065382.712666,22862830040.089264,26123080953.680622,30734926778.57124,38278980488.43833,48635591254.0075,61630538020.94505,71719456385.56061,77664608663.81377
218,Thailand,22994753405.95392,29623230378.23728,39006910326.20582,50461690401.78812,58614478456.36807,68558237372.88534,76059490435.96356,84940551954.11395,93994731293.05434,100342530657.77902,107583832197.99376,112218698414.3852
219,Timor-Leste,336495542.73797333,371549098.5533249,418053501.30508745,476510390.0312429,505584036.5387095,545921508.9393959,576754582.8616706,615304900.0800347,663170852.1214459,733242220.0147924,784075673.9194764,815749119.2413182
220,Togo,1443814806.8120997,1754294188.6084712,2194280325.207524,2709454954.891202,3218397160.206554,3842402431.8080974,4372766592.632895,5109365857.088041,6009730135.662646,7042348695.21452,7742080814.128067,8165653142.02525
221,Tokelau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,Tonga,62417007.68237245,72916812.30633508,83457201.61732382,94807983.9047239,99386969.41266194,103960604.31074478,105287396.00321166,106611049.04887626,108033463.42036743,109817301.55654988,109817301.55654988,109908677.80078976
223,Trinidad and Tobago,1337023223.6907637,1495400329.0059144,1689574047.1797924,1908198801.7315075,1922861151.3457773,1943930903.7413971,2021706218.67349,2120584252.850861,2246481754.608233,2439079897.0737705,2527439869.408158,2592145452.847364
224,Tunisia,8902167087.00423,9543296886.814718,10199546921.942694,10870257300.16644,11836720106.495571,12854302898.470337,13923294674.34127,15046551095.642536,16123980616.30779,16928777182.05093,17397349867.98825,17719397088.65599
225,Turkmenistan,4532014859.353856,5133193045.95937,5952500817.025568,6914341028.940872,7620527029.750073,8428518793.910906,9032682048.51273,9707610921.08524,10454310411.7666,11339221014.242178,11611235455.870413,11820481626.544825
226,Turks and Caicos Islands,3280991.993326676,3643399.3781344495,4145129.08024106,4783189.606726855,5400451.041512333,6381880.819220157,6923736.960753141,7555543.009793161,16994986.565897822,73273091.5381393,83362702.42403308,88077650.84408848
227,Tuvalu,2558248.478170922,2990477.194454025,3422518.654798675,3870971.9226856423,3987352.868754324,4102349.357303057,4135803.236415941,4169182.6558440574,4208176.604447287,4267951.532511445,4267951.532511445,4267951.532511445
228,Türkiye,23216196235.04061,24542533093.27689,25897283060.737244,27277392754.50609,31443281712.024902,35986158493.08141,39728186433.46786,43720519115.38738,47690280581.40831,50982478713.03451,52958512731.15133,54170098878.47586
229,Uganda,5997037907.897819,6931849027.702525,8451804131.614561,10443334776.84014,12125990003.657503,14861997131.916767,17874564151.09562,22892109913.35527,29976479953.074806,39626199508.80694,47949062939.294174,52403665295.56616
230,Ukraine,71005644629.43896,76526799051.59062,82173399045.31561,87924501954.49805,95971993400.95905,104430593330.25945,110711247854.7342,117216604128.40102,123592716233.1934,128893011033.14748,132754006256.33047,135305148125.82608
231,United Arab Emirates,2602095299.956726,2897794123.5004306,3285865625.071397,3737558518.189837,4532894804.62773,5755548599.011679,6273574227.275754,7004257468.641884,7976284916.563996,9352773464.908674,9977864466.974218,10335308721.50704
232,United Kingdom of Great Britain and Northern Ireland,104015790387.14784,111086705979.79198,118324049996.3002,125704578701.34315,132768049346.86906,140184451159.64673,146940367676.87292,153989778621.0605,160842597355.26135,166315565415.89197,170903243877.68243,174574041014.0596
233,United States Minor Outlying Islands,8358303.38869332,9615887.446746135,10873024.33836854,12340345.836704714,12547596.534812683,12759678.608008184,12861039.258386075,12961140.64373286,13087422.149550512,13314427.023946667,13314427.023946667,13314427.023946667
234,United States of America,472962930009.52747,510482579321.3381,549164780509.9838,588819451233.9626,650773805347.2238,718336834474.5969,767501238509.096,820109910941.5458,869882759194.0326,900782459073.4636,928949458079.2876,947275769640.2922
235,Uruguay,2959111498.2080398,3280639477.7638965,3613138570.976553,3955956659.171498,4315222591.661281,4694738506.521992,4936442509.269363,5190583516.54977,5437284461.040026,5642979909.316421,5759281491.187449,5867814381.800585
236,Uzbekistan,20155367294.927677,23370442167.99765,27795560193.797085,33084547097.27084,37001152227.52519,41486615220.70255,44664991560.60497,48329335966.81752,52394043405.74358,56871222934.368935,58949245053.95669,60373045756.45069
237,Vanuatu,99648189.506274,113236618.86677584,127474669.244502,142416928.27080843,145512062.94097573,148532140.3274398,156202884.4324515,164336271.9548693,171739199.68488812,175284946.80468237,176005698.4381788,178132505.48428163
238,"Venezuela, Bolivarian Republic of",10251714991.855328,10897172722.100698,11600090943.3837,12354228958.996876,14633963070.923954,17128756335.072891,18431852114.64,19830117258.8442,21168362485.662457,22021657968.458035,22556143725.29144,22946260429.42344
239,Viet Nam,10543436986.570896,13608466359.103151,18319428896.869225,24539155284.86641,31986852133.798645,41943647903.87748,49955331895.6252,59582115900.19808,69311338625.61464,75063538714.41647,81070387734.25737,84146394072.08376
240,Virgin Islands (British),18818423.41302025,22939467.344549675,28804887.99029233,36146190.63803462,37328060.94969104,38724447.77112448,40988507.85328188,43701956.2772219,47659161.1295679,56133821.76275696,57925220.4436794,59292126.77932143
241,Virgin Islands (U.S.),155697595.31870982,181435406.2419153,215375895.2263533,255865591.42188317,259411524.7079712,263655273.4520474,275456517.4770181,289118429.2220414,307777140.9204324,342118571.3907249,349770253.68098193,354710906.9473995
242,Wallis and Futuna,13909284.276039658,16195522.862796651,18481417.03762263,20911866.8893663,21189919.018740702,21463614.160938397,21751013.9336687,22038201.814652737,22371668.26806581,22906448.34354069,22906448.34354069,22906448.34354069
243,Western Sahara,143331481.5260193,151090317.6262463,158964404.80080345,166940465.73648188,187473482.17931956,211083044.07612532,229821105.4612152,250728797.856406,272063382.0304151,289592096.3592582,294186983.3400178,297402089.1276182
244,Yemen,1372310334.986006,1635154428.3114817,2004048248.3707356,2449244969.6699376,2628303885.5429564,2845291455.508565,3011405414.6580977,3217574494.5194025,3483465090.045916,3910099564.804792,4124830757.156713,4278286325.141433
245,Zambia,5674656513.327184,6773531064.614047,8271349476.134675,9992741602.656918,10895530386.521729,12087363059.544271,13561013946.144407,15660299731.556711,18165334013.19734,20576660596.33163,22797056017.83108,24245100100.99005
246,Zimbabwe,7266923321.070644,8397211869.888042,9911628194.849058,11633662378.604824,12891944622.114817,14764311850.08967,16920162684.528025,20877466796.100685,27317319700.357697,39806342616.85943,47778407650.29469,52724655921.35362
247,Åland Islands,24958284.84883093,26880077.594265908,28834860.56051214,30832430.429785803,33990109.79399021,37294114.135992825,40333631.80654938,43552492.1976208,46607267.83411959,48687254.07405978,50497316.04964718,51703202.50413927
