Countries,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Portugal,76,88,99,95,121,164,185,214,245,254,268,297,271.173,272,243.6,246.799,244.974,262.98,326.4,427.734,498.069,521.435,572.549,641.9637504,727.0699968,769.0261824,798.3614016,779.0888448,1024.003814,951.0068736,1024.003814,1030.996512,1197.968486,1245.04128,1402.80336,1432.991347,1621.964736,1679.95296,1720.033056,1836.009504,1861.080883,2036.068877,2331.897,2457.063,2794.467,3300.573,3294.224,3323.248,3712.351,4295.552,5198.924,5137.248,5559.91,5695.96,5798.451,6061.481,5538.142,5986.2,5442.907,5851.057,1904.7,5986.2,5986.2,7473,7638,7600,7500,7500,8455,9395,9500,9500,9200,10162,9759,8567,8843,9000,8340,12631,12650,12700,12750,5069,6000,5000,4500,5600,4200,3790,3960,4140,4290,4500,4500,4500,4500,4500
Romania,332,317,396,196,213,220,314,361,376,456.311,448.402,531,400,620.52,560.996,840.485,400,250,315,422,452,560,650,1139.980262,1500.018912,1896.044371,1685.240122,1991.042726,2185.985491,2421.008352,2571.948288,2850.973978,3054.103315,3308.057626,3489.014995,4369.071571,4751.964403,5406.037459,5885.97529,6338.112883,7026.126106,7515.103277,8124.906,8521.265,9209.678,9846.392,11192.38,11972.4,13085.289,13872.565,14685.237,15594.958,15600.4,14743.285,14991.803,13965.079,14197.271,12197.336,14212.69,14294.32,13967.8,13967.8,12970.1,6692,6900,6240,5998,6000,6956,7298,7300,6252,8264,5668,5680,5992,6239,7032,8252.768,10059.579,10659.63,7902.328,7008.422,7846,7500,7451,7621,8356,8038,8442,8951,9937,10539,10676,10204,10204,10204,10204
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,2500,2500,2802,3017,3000,3000,3000,3123,3141,3147,3158,3158,3592.509,3718.41,4157.356,3011.46,2887.749,3219,2915,3121,3319,3466,3518,3782,3913,4031,4072,4165,4200,4230.563792,4275.518881,4320.475794
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,950,1000,1000,1026,1113,1149,1224,1300,1237,1178,1370,1186,1200,1269,1300,1300,1000,1000,620,1000,614,706,600,700,660,680,1035,920,880,950,933.1105789,937.1860636,933.8691384
Spain,1542,1820,1839,1630,1425,1407,1362,1355,600,650,592.427,1194.481,1557.878,1639.923,1646.28,1701.52,1843.037,1926.052,2145.14,2186.338,2330.85,2247.608,2521.107,2741.990227,2962.004371,3256.038778,3812.043514,4332.06144,4405.058381,4895.058874,5326.047821,5779.038182,5802.062918,6628.054003,6444.026669,7748.079494,8500.050317,9219.104294,11807.08462,13099.02814,14954.3102,15774.33191,16698.777,16989.924,19436.103,22362.992,23659.095,23971.103,25196.46,27989.113,30226.682,27906.576,28452.59,28745.551,29562.758,30630.297,25430.466,25486.7,24035.5,23400.6,24035.5,24489,25033.2,25117,24615,22878,25150,25000,25157,27632,27943,30800,30000,40512,42417,44747,46593,50347,54032.77,54720.445,42088.1,29504.574,23472.889,22178,15939,13736,14587,15000,15000,14500,16215,16998,15600,18000,18484,17904,17635.51262,17511.21399
Sweden,468,570,611,518,484,403,583,740,795.181,875.541,992.932,1184.991,700.749,645.023,823.89,922.734,1061.14,1213.513,1461.726,1550.103,1486.45,1698.369,1944,2035.045555,2116.058515,2351.934144,2465.011181,2549.946874,2495.028614,2446.079731,2510.037331,2820.103776,2805.947827,3011.976576,3054.103315,3299.018285,3625.969536,3775.033382,3690.950458,3837.114893,3911.987923,3958.037395,4072.43,3824.819,3731.398,4213.015,3308.736,3120.08,2868.841,2534.158,2347.316,2339.153,2437.109,2317.385,2303.78,2239.383,2361.828,2630.3,2051.634,2252.988,2199.475,2199.475,2358.2,2395,2289,2200,2100,2100,2447,2253,2105,2100,2150,2645,2642,2476,2588,2600,2952,2950,2900,2950,2900,2064,2500,2560,2500,2800,2800,3020,3256,2700,2800,2800,2900,2900,2900,2900
Switzerland,630,690,790,850,0,0,0,0,509,650,650,650,650,711,439,367,430,415,694,994.79,1000,950,1078,1314.968256,1384.042464,1581.031872,1817.078054,2117.081837,2380.075488,2375.982202,2184.96217,2682.978682,3036.024634,3601.06871,3726.084499,3580.943386,4321.998778,4039.050355,4326.092064,4176.004896,4321.14601,4533.996902,4796.216,5218.878,5711.379,5754.915,5255.158,3764.05,3545.463,3647.954,3696.025,3932.752,3900.1,4347.251,4093.291,4139.548,4180.363,4199.41,4391.694,4615.723,4964.011,5460.14,5442,4700,4260,4000,4000,4000,3638,3568,3600,3600,3600,3950,3771,3613,3851,4022,4040,4000,4000,4000,4000,4577,4467,4740,4790,4390,4580,4580,4290,4210,4150,4180,4146,3730,3630.342413,3606.465688
United Kingdom,4400,4766,5111,5986,4320,4470,5280,5900,6700,7300,7900,8900,7200,7472.946,7548.54,7081.869,4751.159,4121.1,6681.545,7071.708,8656.7,9364,9912.6,10388.41978,11314.01416,11400.14373,12156.03729,12720.05804,12972.13626,12156.03729,11851.08745,12790.15557,13497.10024,14376.1335,14256.06376,14060.09768,16966.16047,17191.12067,16750.06906,17577.08346,17873.33507,17422.22079,17053.414,17892.389,18043.858,19982.117,17777.2,16892.875,15776.358,15452.559,15912.408,16136.437,14804.961,12726.117,12959.216,13393.669,13478.02,13341.063,13409.995,14307.925,16502.865,15963.2,14000,12297,11006,11039,12493,12500,12214,12638,12409,12697,12800,11854,11265,11650,11730,11470,11471,11887,10071,7623,7600,8529,8500,8203,8958,9600,9600,9359,9197,9079,8046,9008,8393,8182.79027,8182.798775,8182.796801
USA,30445,29481,27798,21604,13166,10905,13374,13262,19400,20137.732,18279.156,21267.269,22640.675,28466.331,31610.471,23067.914,15716.82,17786.688,28403.616,32314.655,35626.454,36312.78,39273.486,42548.3477,43091.73147,45651.91156,47048.40444,53709.54584,56874.8501,53512.21532,55660.50847,60671.71434,56987.07437,57754.22446,60023.26956,62832.96956,65728.96969,66319.2557,68523.49043,65807.76545,70274.90534,71061.49855,67679.433,73669.261,75913.179,79428.711,75179.416,63237.854,67566.965,72612.606,77530.36,77914.928,69575.063,66149.324,58357.287,64711.729,71379.993,71525.113,72483.812,72107.407,70974.564,71253.013,71295.642,68465,70883,75117,79353,78320,80818,84255,85522,87777,89510,90450,91266,94329,99015,100903,99712.374,96849.651,87610.421,64842.794,67175.998,67895,74151,77200,82535,84405,84695,86356,86368,88500,89000,92000,93183,90000,86000,85030.77771
Mexico,216,225,0,0,251.651,251.651,251.651,251.651,285.978,344.693,373.712,409.784,484.992,537.464,588.476,578.253,662.8,740.4,738,707.8,833.444,1227.6,1522.8,1614.972038,1640.043418,1666.990886,1750.05049,2015.090784,2277.061114,2560.009536,2539.031443,2709.073382,3089.066803,3036.024634,3352.060454,3762.071309,4418.020454,4304.09065,4906.997626,6258.123245,6126.114758,6787.180512,7178.905,7360.305,8600.174,9784.716,10592.853,11609.6,12580.997,13224.06,14053.058,15175.017,15999.48,17974.019,19293.704,17064.298,18432.054,20576.202,19747.204,22342.131,22508.112,22761.165,22757.537,25100,26880,27120,29700,23971,25366,27548,27744,29413,31677,32110,33372,33593,34992,36000,40362,38757,37139,35160,34502,35400,36184,34612,36597,39613,40577,41601,48328,45163,47833,51559,40946,48000,48000,42934.3367
