Countries,Region,Start_Year,End_Year,Period_Length,ΔTotal,Δtotal_CE/energy_consumption,Δenergy_consumption/GDP,ΔGDP/Population,Δbuilt_surface/Population,Δcement_CS/built_surface
Sri Lanka,Asia,1975,2020,45,-40.12767029723696,1.6436952997068506,-41.01219653858556,76.46774974882443,-22.76149985328682,-54.465418953895885
Sweden,Europe,1975,2020,45,-93.50293651388714,-65.27863608850448,-134.39423103444582,127.91678053078417,-23.04024651689663,1.2933965951756365
Switzerland,Europe,1975,2020,45,-19.561857181495515,-10.445019968765221,-77.09850404317822,70.59586707115918,-8.576909814897867,5.9627095741866265
Thailand,Asia,1975,2020,45,-0.623203284644859,-5.361476803809178,-31.06945711805855,92.28644287784994,-26.545561160204382,-29.933151080422686
Turkey,Asia,1975,2020,45,-6.339074078113402,-4.973532554272007,-16.112227086224312,45.84226688922649,-0.0912472062788815,-31.004334120564685
Turkmenistan,Asia,1990,2020,30,49.68103990615373,-10.14966515448941,-259.68276136567556,335.28456666307545,6.257727125357976,-22.028827362114612
USA,Unknown,1975,2020,45,-215.92210931871207,-49.635084559516514,-507.4890834722427,466.20447147650003,-40.701591134440584,-84.30082162901216
Ukraine,Europe,1990,2020,30,-104.94763704105698,-22.63449921787722,-177.06959228765325,77.15739302257253,-48.368894539838465,65.96795598173944
United Arab Emirates,Asia,1980,2020,40,-633.555990088536,-34.902976919340986,87.09656682679517,-38.695112958814065,315.24243443747764,-962.2969014746537
United Kingdom,Unknown,1975,2020,45,-122.82971434639659,-57.33106679265572,-303.1795238066157,260.309900494142,-31.677556409660596,9.048532168393455
Uzbekistan,Asia,1990,2020,30,-31.96142726537147,1.5820936506984284,-83.30653879282569,55.54805383085291,-0.6727475704212572,-5.112288383675858
Venezuela,Unknown,1975,2010,35,0.6763534515262251,-15.419605265999255,-130.85748703289443,163.96150584144377,13.045870502583181,-30.05393059360704
Vietnam,Unknown,1985,2020,35,-38.821638973850085,-7.938767334907525,-9.408613168836878,116.21241735830048,-37.41743310411551,-100.26924272429065
